code_spygen;code_explo;rep;date;station;site;region;country;project;sample_type;sample_method;time_start;time_end;duration_min;volume;depth;temperature;turbidity;habitat;habitat_type;filter;data_manager;gps_owner;comment;longitude_start_clean;latitude_start_clean;dist_to_coast..m.;dist_to_CT
SPY181040;LENG019;2;31/10/2017;LENG019;triton_bay;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;17:00;NA;NA;2;0;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.03543;-3.90622;642;-290.07
SPY180185;LENG020;1;01/11/2017;LENG020;triton_bay;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;09:50;NA;NA;2;0;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.0777;-3.90981;385;-291.14
SPY180186;LENG020;2;01/11/2017;LENG020;triton_bay;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;09:50;NA;NA;1.9;0;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.0777;-3.90981;385;-291.14
SPY180990;LENG021;1;01/11/2017;LENG021;triton_bay;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;10:30;NA;NA;2;80;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.07967;-3.90956;382;-291.15
SPY181008;LENG021;2;01/11/2017;LENG021;triton_bay;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;10:30;NA;NA;2;80;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.07967;-3.90956;382;-291.15
SPY181054;LENG022;1;01/11/2017;LENG022;triton_bay;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;10:30;NA;NA;2;25;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.07967;-3.90956;382;-291.15
SPY180992;LENG022;2;01/11/2017;LENG022;triton_bay;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;10:30;NA;NA;2;25;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.07967;-3.90956;382;-291.15
SPY181053;LENG024;1;03/11/2017;LENG024;triton_bay;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;17:30;NA;NA;2;70;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.12033;-3.79458;481;-279.35
SPY180988;LENG024;2;03/11/2017;LENG024;triton_bay;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;17:30;NA;NA;2;70;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.12033;-3.79458;481;-279.35
SPY181055;LENG025;1;03/11/2017;LENG025;triton_bay;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;18:00;NA;NA;2;0;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.12033;-3.79458;481;-279.35
