"","station","lat","long","site35","site30","site25","site20","site10","site5"
"159","atlantic_8",43.8334093,-1.9882645,"site24","site24","site25","site26","site30","site41"
"160","atlantic_9",44.0949793,-1.3818145,"site25","site25","site26","site27","site31","site42"
"161","atlantic_10",44.5427539,-1.3295563,"site26","site26","site27","site28","site32","site43"
"162","atlantic_11",45.5494714,-1.4159793,"site27","site27","site28","site29","site33","site44"
"163","atlantic_12",45.7357645,-1.9193916,"site28","site28","site29","site30","site34","site45"
"164","atlantic_13",45.8661842,-2.395217,"site29","site29","site30","site31","site35","site46"
"165","atlantic_14",46.6230167,-2.5939192,"site30","site30","site31","site32","site36","site47"
"166","atlantic_15",46.5962065,-1.9759778,"site31","site31","site32","site33","site37","site48"
"167","menorca_1",40.022395,3.790081,"site32","site32","site33","site34","site38","site49"
"168","menorca_1",40.022518,3.79002,"site32","site32","site33","site34","site38","site49"
"169","menorca_2",39.918649,3.830327,"site32","site32","site33","site34","site39","site50"
"170","menorca_2",39.918309,3.830632,"site32","site32","site33","site34","site39","site50"
"171","menorca_3",40.086845,4.070965,"site32","site32","site34","site35","site40","site51"
"172","menorca_3",40.088462,4.070868,"site32","site32","site34","site35","site40","site51"
"173","menorca_4",40.07145,4.096724,"site32","site32","site34","site35","site40","site51"
"174","menorca_4",40.071488,4.096939,"site32","site32","site34","site35","site40","site51"
"175","menorca_5",39.957735,4.285683,"site33","site33","site35","site36","site41","site52"
"176","menorca_5",39.957858,4.285778,"site33","site33","site35","site36","site41","site52"
"177","menorca_6",39.829577,4.303324,"site33","site33","site35","site36","site42","site53"
"178","menorca_7",39.848846,4.160777,"site33","site33","site35","site36","site43","site54"
"179","mallorca_1",39.771142,3.405029,"site34","site34","site36","site37","site44","site55"
"180","mallorca_2",39.786777,3.323661,"site34","site34","site36","site37","site45","site56"
"181","mallorca_3",39.746475,3.468065,"site34","site34","site36","site37","site44","site57"
"182","mallorca_4",39.689585,3.474012,"site34","site34","site36","site37","site46","site58"
"183","mallorca_4",39.688479,3.471091,"site34","site34","site36","site37","site46","site58"
"184","banyuls18_1",42.349021,3.203946,"site35","site35","site37","site38","site47","site59"
"185","banyuls18_2",42.401302,3.171352,"site35","site35","site37","site38","site47","site60"
"186","banyuls18_3",42.460386,3.167352,"site35","site35","site38","site39","site48","site61"
"187","banyuls18_4",42.517347,3.13962,"site35","site35","site38","site39","site48","site62"
"188","banyuls18_5",42.570987,3.0496,"site35","site35","site38","site39","site49","site63"
"189","calvi_1",42.58508,8.725903,"site36","site36","site39","site40","site50","site64"
"190","calvi_1",42.577371,8.709377,"site36","site36","site39","site40","site50","site64"
"191","calvi_2",42.584973,8.80077,"site36","site36","site39","site40","site50","site65"
"192","calvi_2",42.592608,8.810375,"site36","site36","site39","site40","site50","site65"
"193","calvi_3",42.607429,8.840922,"site36","site36","site39","site40","site51","site66"
"194","calvi_3",42.609901,8.860081,"site36","site36","site39","site40","site51","site66"
"195","calvi_4",42.629439,8.879176,"site36","site36","site39","site40","site51","site67"
"196","calvi_4",42.628935,8.898822,"site36","site36","site39","site40","site51","site67"
"197","carry_le_rouet_1",43.328101,5.169124,"site37","site37","site40","site41","site52","site68"
"198","carry_le_rouet_1",43.326564,5.162342,"site37","site37","site40","site41","site52","site68"
"199","carry_le_rouet_2",43.331557,5.243485,"site37","site37","site40","site41","site53","site69"
"200","carry_le_rouet_2",43.328215,5.228154,"site37","site37","site40","site41","site53","site69"
"201","carry_le_rouet_3",43.346751,5.27374,"site37","site37","site40","site41","site53","site70"
"202","carry_le_rouet_3",43.357043,5.28961,"site37","site37","site40","site41","site53","site70"
"203","porquerolles_1",42.996874,6.247296,"site38","site38","site41","site42","site54","site71"
"204","porquerolles_1",42.993934,6.231181,"site38","site38","site41","site42","site54","site71"
"205","porquerolles_2",42.989867,6.19165,"site38","site38","site41","site42","site54","site72"
"206","porquerolles_2",42.994923,6.178013,"site38","site38","site41","site42","site54","site72"
"207","porquerolles_3",43.009209,6.184702,"site38","site38","site41","site42","site54","site72"
"208","porquerolles_3",43.009663,6.172318,"site38","site38","site41","site42","site54","site72"
"209","cap_roux_1",43.453856,6.922852,"site39","site39","site42","site43","site55","site73"
"210","cap_roux_1",43.460438,6.923639,"site39","site39","site42","site43","site55","site73"
"211","cap_roux_2",43.427908,6.88989,"site39","site39","site42","site43","site55","site74"
"212","cap_roux_2",43.427372,6.88044,"site39","site39","site42","site43","site55","site74"
"213","cap_roux_3",43.417858,6.829228,"site39","site39","site42","site43","site56","site75"
"214","cap_roux_3",43.414792,6.8148,"site39","site39","site42","site43","site56","site75"
"215","banyuls19_1",42.461737,3.161565,"site35","site35","site38","site39","site48","site61"
"216","banyuls19_1",42.468838,3.159013,"site35","site35","site38","site39","site48","site61"
"217","banyuls19_1",42.468482,3.159341,"site35","site35","site38","site39","site48","site61"
"218","banyuls19_2",42.423661,3.169849,"site35","site35","site37","site38","site47","site60"
"219","banyuls19_2",42.409949,3.163444,"site35","site35","site37","site38","site47","site60"
"220","banyuls19_3",42.359825,3.166933,"site35","site35","site37","site38","site47","site59"
"221","banyuls19_3",42.351981,3.187986,"site35","site35","site37","site38","site47","site59"
"222","baie _de_villefranche",43.689708,7.309035,"site40","site40","site43","site44","site57","site76"
"223","banc_de_magaud",43.056244,6.673749,"site41","site41","site44","site45","site58","site77"
"224","beach_rock_cassis_1",43.17588,5.40324,"site42","site42","site45","site46","site59","site78"
"225","beach_rock_cassis_2",43.16821,5.5495,"site42","site42","site45","site47","site60","site79"
"226","beach_rock_cassis_3",43.169,5.54909,"site42","site42","site45","site47","site60","site79"
"227","beach_rock_cassis_4",43.16862,5.54848,"site42","site42","site45","site47","site60","site79"
"228","beach_rock_cassis_5",43.1679,5.54591,"site42","site42","site45","site47","site60","site79"
"229","beach_rock_cassis_5",43.16812,5.54567,"site42","site42","site45","site47","site60","site79"
"230","beach_rock_cassis_6",43.16803,5.545709,"site42","site42","site45","site47","site60","site79"
"231","cap_de_nice_1",43.687017,7.308539,"site40","site40","site43","site44","site57","site76"
"232","cap_de_nice_1",43.686972,7.30875,"site40","site40","site43","site44","site57","site76"
"233","cap_de_nice_2",43.68388,7.29903,"site40","site40","site43","site44","site57","site76"
"234","cap_de_nice_3",43.666033,7.252058,"site40","site40","site43","site44","site57","site80"
"235","cap_de_nice_4",43.666033,7.252058,"site40","site40","site43","site44","site57","site80"
"236","cap_de_nice_5",43.68275,7.299033,"site40","site40","site43","site44","site57","site76"
"237","cap_de_nice_6",43.684542,7.299424,"site40","site40","site43","site44","site57","site76"
"238","cap_lardier_1",43.15886,6.62046,"site41","site41","site44","site45","site61","site81"
"239","cap_lardier_1",43.15891,6.6205,"site41","site41","site44","site45","site61","site81"
"240","cap_lardier_2",43.1528,6.61624,"site41","site41","site44","site45","site61","site81"
"241","cap_lardier_2",43.15268,6.61693,"site41","site41","site44","site45","site61","site81"
"242","cap_lardier_2",43.15025,6.6168,"site41","site41","site44","site45","site61","site81"
"243","cap_lardier_2",43.14991,6.61595,"site41","site41","site44","site45","site61","site81"
"244","cap_lardier_2",43.14817,6.62024,"site41","site41","site44","site45","site61","site81"
"245","cap_lardier_3",43.150888,6.617996,"site41","site41","site44","site45","site61","site81"
"246","cap_negre_1",43.14227,6.43833,"site41","site41","site44","site48","site62","site82"
"247","cap_negre_2",43.134424,6.428435,"site41","site41","site44","site48","site62","site82"
"248","goude",43.23291,5.35105,"site42","site42","site45","site46","site63","site83"
"249","goude",43.2175,5.34561,"site42","site42","site45","site46","site63","site83"
"250","goude",43.2323,5.349935,"site42","site42","site45","site46","site63","site83"
"251","goude",43.21732,5.34549,"site42","site42","site45","site46","site63","site83"
"252","imperiaux_1",43.17606,5.40356,"site42","site42","site45","site46","site59","site78"
"253","imperiaux_1",43.17588,5.40324,"site42","site42","site45","site46","site59","site78"
"254","imperiaux_2",43.17492,5.39804,"site42","site42","site45","site46","site59","site78"
"255","imperiaux_2",43.18036,5.37254,"site42","site42","site45","site46","site59","site78"
"256","marseille",43.269,5.36633,"site42","site42","site45","site46","site63","site84"
"257","marseille",43.28088,5.34636,"site42","site42","site45","site46","site63","site84"
"258","marseille",43.269,5.3672,"site42","site42","site45","site46","site63","site84"
"259","marseille",43.27953,5.34951,"site42","site42","site45","site46","site63","site84"
"260","tombant_americain",43.681816,7.302233,"site40","site40","site43","site44","site57","site76"
"261","LENG002",-4.11588,132.97463,"site43","site43","site46","site49","site64","site85"
"262","LENG003",-4.11785,133.01915,"site43","site43","site46","site49","site64","site86"
"263","LENG004",-4.11746,133.02032,"site43","site43","site46","site49","site64","site86"
"264","LENG005",-4.06037,133.05912,"site43","site43","site46","site49","site65","site87"
"265","LENG006",-4.11746,133.02032,"site43","site43","site46","site49","site64","site86"
"266","LENG007",-4.12453,132.97571,"site43","site43","site46","site49","site64","site85"
"267","LENG008",-4.13307,132.97514,"site43","site43","site46","site49","site64","site85"
"268","LENG009",-4.13307,132.97514,"site43","site43","site46","site49","site64","site85"
"269","LENG010",-4.13565,132.97421,"site43","site43","site46","site49","site64","site85"
"270","LENG011",-4.12602,132.9769,"site43","site43","site46","site49","site64","site85"
"271","LENG012",-4.08471,132.91273,"site43","site43","site46","site49","site66","site88"
"272","LENG013",-4.32327,133.50134,"site44","site44","site47","site50","site67","site89"
"273","LENG014",-4.32135,133.49826,"site44","site44","site47","site50","site67","site89"
"274","LENG015",-4.32225,133.49443,"site44","site44","site47","site50","site67","site89"
"275","LENG016",-4.33406,133.50023,"site44","site44","site47","site50","site67","site89"
"276","LENG017",-4.33682,133.4866,"site44","site44","site47","site50","site67","site89"
"277","LENG018",-3.90609,134.03523,"site45","site45","site48","site51","site68","site90"
"278","LENG019",-3.90622,134.03543,"site45","site45","site48","site51","site68","site90"
"279","LENG020",-3.90981,134.0777,"site45","site45","site48","site51","site68","site90"
"280","LENG021",-3.90956,134.07967,"site45","site45","site48","site51","site68","site90"
"281","LENG022",-3.90956,134.07967,"site45","site45","site48","site51","site68","site90"
"282","LENG023",-3.72099,134.09822,"site45","site45","site48","site52","site69","site91"
"283","LENG023",-3.72398,134.10167,"site45","site45","site48","site52","site69","site91"
"284","LENG024",-3.79458,134.12033,"site45","site45","site48","site52","site70","site92"
