"species_name","class_name"
"Cyprinella_formosa","Actinopteri"
"Clinostomus_funduloides","Actinopteri"
"Campostoma_ornatum","Actinopteri"
"Erimystax_x-punctatus","Actinopteri"
"Hybognathus_nuchalis","Actinopteri"
"Macrhybopsis_aestivalis","Actinopteri"
"Mylocheilus_caurinus","Actinopteri"
"Macrhybopsis_storeriana","Actinopteri"
"Nocomis_biguttatus","Actinopteri"
"Nocomis_leptocephalus","Actinopteri"
"Pogonichthys_macrolepidotus","Actinopteri"
"Richardsonius_balteatus","Actinopteri"
"Richardsonius_egregius","Actinopteri"
"Rhinichthys_osculus","Actinopteri"
"Tiaroga_cobitis","Actinopteri"
"Phenacobius_crassilabrum","Actinopteri"
"Phenacobius_teretulus","Actinopteri"
"Phenacobius_uranops","Actinopteri"
"Erimystax_dissimilis","Actinopteri"
"Aphyosemion_elberti","Actinopteri"
"Fundulopanchax_gardneri","Actinopteri"
"Nothobranchius_furzeri","Actinopteri"
"Epiplatys_singa","Actinopteri"
"Scriptaphyosemion_geryi","Actinopteri"
"Callopanchax_occidentalis","Actinopteri"
"Kryptolebias_caudomarginatus","Actinopteri"
"Campellolebias_dorsimaculatus","Actinopteri"
"Cynopoecilus_melanotaenia","Actinopteri"
"Leptolebias_minimus","Actinopteri"
"Nematolebias_whitei","Actinopteri"
"Xenurolebias_myersi","Actinopteri"
"Rivulus_cylindraceus","Actinopteri"
"Rivulus_roloffi","Actinopteri"
"Rivulus_sp._'Tobogan'","Actinopteri"
"Laimosemion_tecminae","Actinopteri"
"Laimosemion_gransabanae","Actinopteri"
"Laimosemion_breviceps","Actinopteri"
"Laimosemion_agilae","Actinopteri"
"Laimosemion_frenatus","Actinopteri"
"Atlantirivulus_haraldsiolii","Actinopteri"
"Atlantirivulus_santensis","Actinopteri"
"Atlantirivulus_luelingi","Actinopteri"
"Cynodonichthys_magdalenae","Actinopteri"
"Cynodonichthys_weberi","Actinopteri"
"Cynodonichthys_tenuis","Actinopteri"
"Melanorivulus_violaceus","Actinopteri"
"Melanorivulus_pictus","Actinopteri"
"Melanorivulus_punctatus","Actinopteri"
"Anablepsoides_ornatus","Actinopteri"
"Anablepsoides_iridescens","Actinopteri"
"Anablepsoides_jucundus","Actinopteri"
"Anablepsoides_hartii","Actinopteri"
"Anablepsoides_cryptocallus","Actinopteri"
"Anablepsoides_deltaphilus","Actinopteri"
"Rivulus_sp._'Supamo'","Actinopteri"
"Anablepsoides_waimacui","Actinopteri"
"Anablepsoides_stagnatus","Actinopteri"
"Anablepsoides_ophiomimus","Actinopteri"
"Trigonectes_aplocheiloides","Actinopteri"
"Trigonectes_balzanii","Actinopteri"
"Trigonectes_rubromarginatus","Actinopteri"
"Neofundulus_ornatipinnis","Actinopteri"
"Neofundulus_sp._Paraguay","Actinopteri"
"Aphyolebias_peruensis","Actinopteri"
"Papiliolebias_bitteri","Actinopteri"
"Plesiolebias_aruana","Actinopteri"
"Maratecoara_lacortei","Actinopteri"
"Maratecoara_formosa","Actinopteri"
"Renova_oscari","Actinopteri"
"Pterolebias_phasianus","Actinopteri"
"Pterolebias_longipinnis","Actinopteri"
"Austrofundulus_limnaeus","Actinopteri"
"Micromoema_xiphophorus","Actinopteri"
"Llanolebias_stellifer","Actinopteri"
"Oncorhynchus_masou","Actinopteri"
"Oncorhynchus_keta","Actinopteri"
"Polyodon_spathula","Actinopteri"
"Acipenser_fulvescens","Actinopteri"
"Cynoscion_arenarius","Actinopteri"
"Cynoscion_nebulosus","Actinopteri"
"Salmo_salar","Actinopteri"
"Fundulus_zebrinus","Actinopteri"
"Boleophthalmus_pectinirostris","Actinopteri"
"Giuris_margaritaceus","Actinopteri"
"Giuris_sp.","Actinopteri"
"Hypseleotris_compressa","Actinopteri"
"Hypseleotris_galii","Actinopteri"
"Gobiomorphus_australis","Actinopteri"
"Eleotris_fusca","Actinopteri"
"Eleotris_melanosoma","Actinopteri"
"Eleotris_acanthopoma","Actinopteri"
"Philypnodon_sp._HYW-2001","Actinopteri"
"Philypnodon_grandiceps","Actinopteri"
"Oxyeleotris_marmorata","Actinopteri"
"Bostrychus_sinensis","Actinopteri"
"Oxyeleotris_urophthalmoides","Actinopteri"
"Butis_sp._HYW-2001","Actinopteri"
"Butis_butis","Actinopteri"
"Butis_koilomatodon","Actinopteri"
"Butis_melanostigma","Actinopteri"
"Exyrias_puntang","Actinopteri"
"Istigobius_sp._HYW-2001","Actinopteri"
"Nemateleotris_magnifica","Actinopteri"
"Nemateleotris_sp._HYW-2001","Actinopteri"
"Ptereleotris_zebra","Actinopteri"
"Ptereleotris_heteroptera","Actinopteri"
"Ptereleotris_evides","Actinopteri"
"Amblyeleotris_guttata","Actinopteri"
"Glossogobius_celebius","Actinopteri"
"Valenciennea_strigata","Actinopteri"
"Sicyopterus_longifilis","Actinopteri"
"Stiphodon_ornatus","Actinopteri"
"Stenogobius_sp._HYW-2001","Actinopteri"
"Oligolepis_acutipennis","Actinopteri"
"Rhinogobius_sp._HYW-2001","Actinopteri"
"Redigobius_bikolanus","Actinopteri"
"Eugnathogobius_oligactis","Actinopteri"
"Brachygobius_xanthomelas","Actinopteri"
"Gobiopterus_brachypterus","Actinopteri"
"Gobiodon_sp._HYW-2001","Actinopteri"
"Anguilla_anguilla","Actinopteri"
"Ariosoma_major","Actinopteri"
"Kryptolebias_marmoratus","Actinopteri"
"Catostomus_catostomus","Actinopteri"
"Erimyzon_oblongus","Actinopteri"
"Moxostoma_anisurum","Actinopteri"
"Moxostoma_carinatum","Actinopteri"
"Moxostoma_cervinum","Actinopteri"
"Moxostoma_ariommum","Actinopteri"
"Thoburnia_rhothoeca","Actinopteri"
"Chilorhinus_platyrhynchus","Actinopteri"
"Gymnothorax_reticularis","Actinopteri"
"Echidna_xanthospilos","Actinopteri"
"Uropterygius_micropterus","Actinopteri"
"Bathycongrus_retrotinctus","Actinopteri"
"Uroconger_lepturus","Actinopteri"
"Ariosoma_anago","Actinopteri"
"Parabathymyrus_macrophthalmus","Actinopteri"
"Gorgasia_taiwanensis","Actinopteri"
"Muraenesox_cinereus","Actinopteri"
"Oxyconger_leptognathus","Actinopteri"
"Gavialiceps_taeniola","Actinopteri"
"Saurenchelys_fierasfer","Actinopteri"
"Ophichthus_evermanni","Actinopteri"
